Code,Open,High,Low,Close,Volume,Datetime
KRW-WAXP,267,267,265,265,44982.77918617,2021-03-20T19:06:00Z
KRW-WAXP,265,266,265,265,22373.09566523,2021-03-20T19:09:00Z
KRW-WAXP,265,267,264,267,111667.22148955,2021-03-20T19:12:00Z
KRW-WAXP,267,267,266,266,3783.05420108,2021-03-20T19:15:00Z
KRW-WAXP,266,266,265,265,22281.93089184,2021-03-20T19:18:00Z
KRW-WAXP,265,266,264,264,64173.38035524,2021-03-20T19:21:00Z
KRW-WAXP,264,266,264,266,81439.64779768,2021-03-20T19:24:00Z
KRW-WAXP,266,267,266,266,26509.75600203,2021-03-20T19:27:00Z
KRW-WAXP,266,267,265,265,82860.07443543,2021-03-20T19:30:00Z
KRW-WAXP,266,267,266,267,34474.05943691,2021-03-20T19:33:00Z
KRW-WAXP,267,267,266,267,24526.53417213,2021-03-20T19:36:00Z
KRW-WAXP,266,267,266,267,14960.83405264,2021-03-20T19:39:00Z
KRW-WAXP,267,267,265,266,71273.40192771,2021-03-20T19:42:00Z
KRW-WAXP,266,266,265,265,26684.8439506,2021-03-20T19:45:00Z
KRW-WAXP,265,266,265,266,16995.0819761,2021-03-20T19:48:00Z
KRW-WAXP,266,266,265,266,10745.18360645,2021-03-20T19:51:00Z
KRW-WAXP,266,266,266,266,30001.28260877,2021-03-20T19:54:00Z
KRW-WAXP,266,267,266,267,8848.55103697,2021-03-20T19:57:00Z
KRW-WAXP,267,267,263,264,96054.76421028,2021-03-20T20:00:00Z
KRW-WAXP,265,266,259,263,313794.71859743,2021-03-20T20:03:00Z
KRW-WAXP,263,265,260,263,36735.13406209,2021-03-20T20:06:00Z
KRW-WAXP,265,265,264,265,9367.28247385,2021-03-20T20:09:00Z
KRW-WAXP,264,265,263,263,26391.30406142,2021-03-20T20:12:00Z
KRW-WAXP,262,264,261,262,33903.00944721,2021-03-20T20:15:00Z
KRW-WAXP,262,263,261,262,39617.95481455,2021-03-20T20:18:00Z
KRW-WAXP,262,262,260,262,121799.1700539,2021-03-20T20:21:00Z
KRW-WAXP,261,264,259,264,90209.35498615,2021-03-20T20:24:00Z
KRW-WAXP,262,262,259,260,66506.13509095,2021-03-20T20:27:00Z
KRW-WAXP,260,262,259,260,99443.53705875,2021-03-20T20:30:00Z
KRW-WAXP,260,261,259,259,97717.84092946,2021-03-20T20:33:00Z
KRW-WAXP,259,261,258,259,90442.89013445,2021-03-20T20:36:00Z
KRW-WAXP,258,259,256,256,829733.77038543,2021-03-20T20:39:00Z
KRW-WAXP,256,257,255,257,193281.51533928,2021-03-20T20:42:00Z
KRW-WAXP,256,257,256,257,40258.33081812,2021-03-20T20:45:00Z
KRW-WAXP,256,257,256,256,118256.18879368,2021-03-20T20:48:00Z
KRW-WAXP,256,258,256,258,240088.80070866,2021-03-20T20:51:00Z
KRW-WAXP,257,260,257,260,180186.80579706,2021-03-20T20:54:00Z
KRW-WAXP,258,260,257,259,126455.7430496,2021-03-20T20:57:00Z
KRW-WAXP,258,258,257,258,141869.46067648,2021-03-20T21:00:00Z
KRW-WAXP,258,258,256,257,38026.101404,2021-03-20T21:03:00Z
KRW-WAXP,258,258,257,257,14223.55002359,2021-03-20T21:06:00Z
KRW-WAXP,257,260,257,259,120883.77707796,2021-03-20T21:09:00Z
KRW-WAXP,259,264,259,263,9415.58961437,2021-03-20T21:12:00Z
KRW-WAXP,261,263,259,261,32221.55525682,2021-03-20T21:15:00Z
KRW-WAXP,261,261,259,260,46336.54161804,2021-03-20T21:18:00Z
KRW-WAXP,260,261,260,260,34822.88113191,2021-03-20T21:21:00Z
KRW-WAXP,260,262,260,261,30314.91350801,2021-03-20T21:24:00Z
KRW-WAXP,262,262,260,260,127774.29593856,2021-03-20T21:27:00Z
KRW-WAXP,261,262,261,261,64959.28979293,2021-03-20T21:30:00Z
KRW-WAXP,261,264,260,264,84340.47843355,2021-03-20T21:33:00Z
KRW-WAXP,264,265,263,263,48825.91756376,2021-03-20T21:36:00Z
KRW-WAXP,263,264,262,262,169989.19181134,2021-03-20T21:39:00Z
KRW-WAXP,262,264,262,263,52671.90639789,2021-03-20T21:42:00Z
KRW-WAXP,263,264,263,263,19695.35943245,2021-03-20T21:45:00Z
KRW-WAXP,263,266,263,266,92228.48828675,2021-03-20T21:48:00Z
KRW-WAXP,266,267,266,266,128324.08611192,2021-03-20T21:51:00Z
KRW-WAXP,266,267,265,266,57839.89494797,2021-03-20T21:54:00Z
KRW-WAXP,266,269,266,267,188306.67551767,2021-03-20T21:57:00Z
KRW-WAXP,268,268,267,267,53315.86522994,2021-03-20T22:00:00Z
KRW-WAXP,267,268,267,268,42562.31329719,2021-03-20T22:03:00Z
KRW-WAXP,267,268,266,267,53117.12293585,2021-03-20T22:06:00Z
KRW-WAXP,267,268,266,266,55267.86153253,2021-03-20T22:09:00Z
KRW-WAXP,265,266,264,265,55668.99747669,2021-03-20T22:12:00Z
KRW-WAXP,265,265,263,264,79914.8605683,2021-03-20T22:15:00Z
KRW-WAXP,264,265,263,265,100515.1050921,2021-03-20T22:18:00Z
KRW-WAXP,265,266,265,265,39619.41137898,2021-03-20T22:21:00Z
KRW-WAXP,265,265,264,265,226831.09021036,2021-03-20T22:24:00Z
KRW-WAXP,265,265,263,264,151260.68950272,2021-03-20T22:27:00Z
KRW-WAXP,263,264,263,264,57444.95640511,2021-03-20T22:30:00Z
KRW-WAXP,264,264,261,261,363727.57795843,2021-03-20T22:33:00Z
KRW-WAXP,261,261,256,257,486548.1665862,2021-03-20T22:36:00Z
KRW-WAXP,257,261,256,257,269709.61756873,2021-03-20T22:39:00Z
KRW-WAXP,258,260,257,257,209585.76748673,2021-03-20T22:42:00Z
